Date,Country,Agency,Rating,PrevRating,RatingChanged
2023-02-10,DE,Moody's,Aaa (Stable),,True
2023-02-13,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-02-14,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-02-15,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-02-16,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-02-17,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-02-20,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-02-21,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-02-22,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-02-23,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-02-24,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-02-27,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-02-28,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-01,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-02,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-03,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-06,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-07,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-08,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-09,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-10,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-13,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-14,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-15,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-16,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-17,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-20,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-21,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-22,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-23,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-24,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-27,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-28,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-29,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-30,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-03-31,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-03,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-04,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-05,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-06,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-07,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-10,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-11,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-12,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-13,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-14,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-17,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-18,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-19,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-20,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-21,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-24,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-25,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-26,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-27,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-04-28,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-01,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-02,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-03,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-04,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-05,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-08,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-09,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-10,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-11,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-12,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-15,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-16,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-17,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-18,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-19,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-22,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-23,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-24,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-25,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-26,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-29,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-30,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-05-31,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-01,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-02,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-05,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-06,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-07,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-08,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-09,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-12,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-13,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-14,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-15,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-16,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-19,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-20,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-21,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-22,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-23,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-26,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-27,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-28,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-29,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-06-30,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-03,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-04,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-05,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-06,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-07,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-10,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-11,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-12,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-13,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-14,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-17,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-18,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-19,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-20,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-21,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-24,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-25,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-26,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-27,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-28,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-07-31,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-01,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-02,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-03,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-04,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-07,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-08,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-09,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-10,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-11,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-14,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-15,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-16,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-17,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-18,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-21,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-22,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-23,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-24,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-25,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-28,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-29,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-30,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-08-31,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-01,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-04,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-05,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-06,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-07,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-08,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-11,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-12,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-13,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-14,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-15,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-18,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-19,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-20,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-21,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-22,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-25,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-26,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-27,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-28,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-09-29,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-02,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-03,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-04,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-05,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-06,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-09,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-10,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-11,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-12,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-13,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-16,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-17,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-18,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-19,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-20,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-23,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-24,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-25,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-26,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-27,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-30,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-10-31,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-11-01,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-11-02,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-11-03,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-11-06,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-11-07,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-11-08,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-11-09,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-11-10,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-11-13,DE,Moody's,Aaa (Stable),Aaa (Stable),False
2023-11-14,DE,Moody's,Aaa (Stable),Aaa (Stable),False
